EmployeeNumber,Department,JobRole,OverTime,BusinessTravel,MonthlyIncome,YearsAtCompany,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,Attrition,attrition_flag,attrition_probability,risk_decile,risk_band,intervention_priority,risk_explanation
752,Research & Development,Research Scientist,Yes,Travel_Frequently,2759,2,3,3,3,Yes,1,0.6326786649762983,3,High,Priority 3 - manager check-in,Works overtime; Frequent business travel; Early tenure; No stock option
1669,Sales,Sales Executive,Yes,Travel_Rarely,4187,10,2,1,2,No,0,0.6325716163847628,3,High,Priority 3 - manager check-in,Works overtime; Low job satisfaction; Low environment satisfaction; Low work-life balance
1138,Sales,Sales Executive,No,Travel_Rarely,13120,9,2,4,3,No,0,0.6323154080498339,3,High,Priority 3 - manager check-in,Low job satisfaction
81,Sales,Sales Executive,No,Travel_Rarely,7637,21,1,1,2,No,0,0.6316719946601274,3,High,Priority 3 - manager check-in,Low job satisfaction; Low environment satisfaction; Low work-life balance; Long promotion gap; No stock option
91,Sales,Sales Executive,No,Travel_Frequently,5473,4,3,1,2,No,0,0.6315155305823253,3,High,Priority 3 - manager check-in,Frequent business travel; Low environment satisfaction; Low work-life balance; No stock option
1390,Sales,Sales Executive,Yes,Travel_Rarely,6120,5,4,1,4,No,0,0.6314921905998383,3,High,Priority 3 - manager check-in,Works overtime; Low environment satisfaction
184,Human Resources,Human Resources,Yes,Travel_Rarely,6347,11,4,3,1,No,0,0.6311877263567015,3,High,Priority 3 - manager check-in,Works overtime; Low work-life balance; Long promotion gap; No stock option
549,Research & Development,Manager,No,Travel_Rarely,19566,29,1,1,1,No,0,0.6293892710509782,3,High,Priority 3 - manager check-in,Low job satisfaction; Low environment satisfaction; Low work-life balance; Long promotion gap; No stock option
1974,Research & Development,Laboratory Technician,Yes,Travel_Rarely,1129,1,4,4,3,No,0,0.6287060948325284,3,High,Priority 3 - manager check-in,Works overtime; Early tenure
396,Research & Development,Research Director,Yes,Travel_Frequently,18665,3,1,3,3,No,0,0.6279095199630699,3,High,Priority 3 - manager check-in,Works overtime; Frequent business travel; Low job satisfaction; No stock option
1434,Research & Development,Laboratory Technician,No,Travel_Rarely,2099,5,1,2,4,No,0,0.6276672992664297,3,High,Priority 3 - manager check-in,Low job satisfaction; Low environment satisfaction; No stock option
1973,Human Resources,Manager,Yes,Travel_Rarely,19636,10,2,3,3,No,0,0.6260720427029809,3,High,Priority 3 - manager check-in,Works overtime; Low job satisfaction
248,Sales,Sales Representative,Yes,Travel_Rarely,3140,4,2,2,2,Yes,1,0.6252441279470764,3,High,Priority 3 - manager check-in,Works overtime; Low job satisfaction; Low environment satisfaction; Low work-life balance; No stock option
1554,Sales,Sales Representative,No,Travel_Rarely,2430,5,3,2,3,No,0,0.624117922248477,3,High,Priority 3 - manager check-in,Low environment satisfaction; Long promotion gap
1916,Research & Development,Laboratory Technician,No,Travel_Rarely,3978,2,3,1,2,No,0,0.6224977241842412,3,High,Priority 3 - manager check-in,Low environment satisfaction; Low work-life balance; Early tenure
964,Research & Development,Research Scientist,Yes,Travel_Frequently,3617,1,2,4,3,No,0,0.6213179882470965,3,High,Priority 3 - manager check-in,Works overtime; Frequent business travel; Low job satisfaction; Early tenure
639,Research & Development,Research Scientist,Yes,Travel_Rarely,2725,6,4,2,3,No,0,0.6209693708547115,3,High,Priority 3 - manager check-in,Works overtime; Low environment satisfaction
363,Sales,Manager,Yes,Travel_Rarely,16872,7,2,3,2,No,0,0.6208731249507902,3,High,Priority 3 - manager check-in,Works overtime; Low job satisfaction; Low work-life balance; Long promotion gap
1046,Research & Development,Laboratory Technician,No,Non-Travel,4025,8,3,4,3,No,0,0.6199707960212211,3,High,Priority 3 - manager check-in,Long promotion gap; No stock option
1816,Research & Development,Manufacturing Director,No,Travel_Rarely,9667,7,3,1,3,No,0,0.6196929528196838,3,High,Priority 3 - manager check-in,Low environment satisfaction; No stock option
899,Research & Development,Manufacturing Director,No,Travel_Rarely,10903,13,2,4,3,No,0,0.6190285834382555,3,High,Priority 3 - manager check-in,Low job satisfaction; Long promotion gap; No stock option
1296,Research & Development,Laboratory Technician,Yes,Travel_Frequently,3867,2,4,4,3,No,0,0.6176390404733464,3,High,Priority 3 - manager check-in,Works overtime; Frequent business travel; Early tenure
2027,Research & Development,Research Scientist,Yes,Travel_Rarely,4787,2,4,1,4,Yes,1,0.6159021284484462,3,High,Priority 3 - manager check-in,Works overtime; Low environment satisfaction; Early tenure
1017,Research & Development,Laboratory Technician,No,Travel_Frequently,2422,3,2,2,3,Yes,1,0.6157806077398927,3,High,Priority 3 - manager check-in,Frequent business travel; Low job satisfaction; Low environment satisfaction; No stock option
927,Research & Development,Laboratory Technician,Yes,Travel_Rarely,2778,7,4,2,2,Yes,1,0.6146096768476559,3,High,Priority 3 - manager check-in,Works overtime; Low environment satisfaction; Low work-life balance
376,Research & Development,Manager,Yes,Non-Travel,11849,10,2,1,2,Yes,1,0.6145647869142039,3,High,Priority 3 - manager check-in,Works overtime; Low job satisfaction; Low environment satisfaction; Low work-life balance; Long promotion gap
1568,Sales,Sales Executive,No,Travel_Rarely,9250,4,2,3,3,No,0,0.6144955680287378,3,High,Priority 3 - manager check-in,Low job satisfaction
585,Sales,Sales Representative,No,Travel_Rarely,2983,3,2,4,3,No,0,0.6135128847119777,3,High,Priority 3 - manager check-in,Low job satisfaction; No stock option
856,Research & Development,Research Scientist,No,Travel_Rarely,2559,6,1,3,2,No,0,0.6113027147736619,3,High,Priority 3 - manager check-in,Low job satisfaction; Low work-life balance; No stock option
297,Research & Development,Research Scientist,Yes,Travel_Rarely,2657,5,1,4,3,Yes,1,0.6109298832261074,3,High,Priority 3 - manager check-in,Works overtime; Low job satisfaction; No stock option
1987,Human Resources,Human Resources,No,Travel_Rarely,2187,2,2,3,3,No,0,0.6093442402235212,3,High,Priority 3 - manager check-in,Low job satisfaction; Early tenure; No stock option
311,Sales,Sales Representative,No,Travel_Frequently,2793,9,4,1,3,No,0,0.6081754619533298,3,High,Priority 3 - manager check-in,Frequent business travel; Low environment satisfaction; Long promotion gap
1415,Research & Development,Laboratory Technician,No,Travel_Rarely,3229,3,4,1,2,No,0,0.6080652248492248,3,High,Priority 3 - manager check-in,Low environment satisfaction; Low work-life balance
1801,Sales,Sales Executive,No,Non-Travel,7991,2,2,2,3,No,0,0.6060638189993782,3,High,Priority 3 - manager check-in,Low job satisfaction; Low environment satisfaction; Early tenure; No stock option
792,Research & Development,Laboratory Technician,No,Travel_Frequently,4364,2,4,1,3,No,0,0.6053653086563935,3,High,Priority 3 - manager check-in,Frequent business travel; Low environment satisfaction; Early tenure
1556,Sales,Sales Representative,Yes,Travel_Rarely,2644,3,4,3,2,No,0,0.605301097239844,3,High,Priority 3 - manager check-in,Works overtime; Low work-life balance; No stock option
291,Sales,Sales Executive,No,Travel_Rarely,10400,14,4,4,2,Yes,1,0.6041331009316149,3,High,Priority 3 - manager check-in,Low work-life balance; Long promotion gap; No stock option
913,Research & Development,Research Scientist,Yes,Travel_Rarely,2559,8,1,2,3,No,0,0.6015094927607784,3,High,Priority 3 - manager check-in,Works overtime; Low job satisfaction; Low environment satisfaction; Long promotion gap; No stock option
1281,Sales,Sales Executive,Yes,Travel_Rarely,4538,3,1,3,3,No,0,0.6002680438947552,3,High,Priority 3 - manager check-in,Works overtime; Low job satisfaction; No stock option
747,Sales,Sales Executive,No,Travel_Rarely,5304,8,4,3,2,No,0,0.600179290892849,3,High,Priority 3 - manager check-in,Low work-life balance; Long promotion gap
1239,Sales,Sales Executive,No,Travel_Rarely,6852,5,2,2,4,No,0,0.599914208126587,3,High,Priority 3 - manager check-in,Low job satisfaction; Low environment satisfaction
5,Research & Development,Research Scientist,Yes,Travel_Frequently,2909,8,3,4,3,No,0,0.5992253201083798,3,High,Priority 3 - manager check-in,Works overtime; Frequent business travel; No stock option
1675,Research & Development,Laboratory Technician,No,Travel_Frequently,2440,4,2,4,3,No,0,0.597768131240458,3,High,Priority 3 - manager check-in,Frequent business travel; Low job satisfaction; No stock option
1591,Sales,Manager,Yes,Travel_Rarely,19331,1,3,3,3,No,0,0.5958242308965386,3,High,Priority 3 - manager check-in,Works overtime; Early tenure
982,Sales,Sales Executive,No,Travel_Rarely,7264,8,3,3,4,No,0,0.5900798358681983,3,High,Priority 3 - manager check-in,Long promotion gap
1720,Research & Development,Research Scientist,No,Travel_Frequently,3433,5,3,1,2,No,0,0.5900345691327092,3,High,Priority 3 - manager check-in,Frequent business travel; Low environment satisfaction; Low work-life balance
1119,Sales,Sales Executive,Yes,Travel_Rarely,8740,8,3,3,3,No,0,0.5889243379221534,3,High,Priority 3 - manager check-in,Works overtime
1216,Research & Development,Laboratory Technician,No,Travel_Rarely,3196,6,1,4,3,No,0,0.5887244750205278,3,High,Priority 3 - manager check-in,Low job satisfaction
879,Sales,Sales Executive,Yes,Travel_Rarely,4194,5,1,3,3,No,0,0.5884093765167276,3,High,Priority 3 - manager check-in,Works overtime; Low job satisfaction; No stock option
1033,Research & Development,Healthcare Representative,No,Travel_Rarely,4777,1,2,1,1,Yes,1,0.5865594463725967,3,High,Priority 3 - manager check-in,Low job satisfaction; Low environment satisfaction; Low work-life balance; Early tenure; No stock option
1792,Research & Development,Research Scientist,Yes,Travel_Frequently,2342,5,2,3,2,Yes,1,0.5847277049272439,3,High,Priority 3 - manager check-in,Works overtime; Frequent business travel; Low job satisfaction; Low work-life balance
1101,Research & Development,Research Scientist,No,Travel_Frequently,4508,13,3,1,3,Yes,1,0.5836300017471455,3,High,Priority 3 - manager check-in,Frequent business travel; Low environment satisfaction; No stock option
1507,Sales,Sales Executive,No,Travel_Frequently,4898,4,1,3,3,No,0,0.5830300817914766,3,High,Priority 3 - manager check-in,Frequent business travel; Low job satisfaction; No stock option
473,Sales,Manager,No,Travel_Rarely,12504,0,3,1,1,No,0,0.5823779968683306,3,High,Priority 3 - manager check-in,Low environment satisfaction; Low work-life balance; Early tenure
684,Sales,Sales Executive,No,Travel_Frequently,4286,1,1,1,3,Yes,1,0.581889771495282,3,High,Priority 3 - manager check-in,Frequent business travel; Low job satisfaction; Low environment satisfaction; Early tenure
488,Sales,Sales Executive,No,Travel_Frequently,9355,8,2,1,3,Yes,1,0.5805232341363792,3,High,Priority 3 - manager check-in,Frequent business travel; Low job satisfaction; Low environment satisfaction; Long promotion gap; No stock option
1082,Research & Development,Healthcare Representative,No,Non-Travel,8722,10,1,2,2,Yes,1,0.5799861882135792,3,High,Priority 3 - manager check-in,Low job satisfaction; Low environment satisfaction; Low work-life balance; No stock option
1160,Research & Development,Laboratory Technician,No,Travel_Frequently,2610,2,3,3,2,Yes,1,0.5798154972579364,3,High,Priority 3 - manager check-in,Frequent business travel; Low work-life balance; Early tenure
281,Research & Development,Laboratory Technician,Yes,Travel_Rarely,2741,7,4,3,4,No,0,0.5776506076502331,3,High,Priority 3 - manager check-in,Works overtime
632,Sales,Sales Representative,No,Travel_Frequently,2400,2,4,4,3,No,0,0.5755475916566027,3,High,Priority 3 - manager check-in,Frequent business travel; Early tenure
1307,Research & Development,Manager,Yes,Travel_Rarely,17123,19,2,3,3,No,0,0.574288088512477,3,High,Priority 3 - manager check-in,Works overtime; Low job satisfaction; Long promotion gap
433,Research & Development,Research Scientist,No,Travel_Rarely,4941,8,2,3,2,Yes,1,0.573918857250613,3,High,Priority 3 - manager check-in,Low job satisfaction; Low work-life balance; Long promotion gap; No stock option
446,Sales,Sales Executive,No,Travel_Frequently,4682,7,4,2,2,No,0,0.5736288170949316,3,High,Priority 3 - manager check-in,Frequent business travel; Low environment satisfaction; Low work-life balance; No stock option
934,Research & Development,Laboratory Technician,No,Travel_Rarely,2008,1,2,2,3,No,0,0.573515232808424,3,High,Priority 3 - manager check-in,Low job satisfaction; Low environment satisfaction; Early tenure
15,Research & Development,Laboratory Technician,Yes,Travel_Rarely,4193,9,3,4,3,No,0,0.5711293787795975,3,High,Priority 3 - manager check-in,Works overtime; No stock option
1952,Research & Development,Laboratory Technician,No,Travel_Rarely,2867,7,1,3,2,No,0,0.5699595946264698,3,High,Priority 3 - manager check-in,Low job satisfaction; Low work-life balance; Long promotion gap; No stock option
1907,Research & Development,Laboratory Technician,No,Travel_Rarely,2587,4,4,1,3,Yes,1,0.5698950917201103,3,High,Priority 3 - manager check-in,Low environment satisfaction; No stock option
437,Sales,Sales Executive,Yes,Travel_Rarely,4478,5,3,4,3,No,0,0.5672234781986153,3,High,Priority 3 - manager check-in,Works overtime; No stock option
663,Research & Development,Laboratory Technician,Yes,Travel_Frequently,5679,8,3,4,3,No,0,0.5649305666209916,3,High,Priority 3 - manager check-in,Works overtime; Frequent business travel; Long promotion gap
1985,Research & Development,Laboratory Technician,No,Travel_Frequently,6323,10,3,4,4,No,0,0.5647771255478878,3,High,Priority 3 - manager check-in,Frequent business travel; Long promotion gap
1992,Research & Development,Laboratory Technician,Yes,Travel_Rarely,3977,2,3,4,2,No,0,0.5647708326766613,3,High,Priority 3 - manager check-in,Works overtime; Low work-life balance; Early tenure
586,Research & Development,Healthcare Representative,Yes,Travel_Rarely,7632,8,3,4,3,No,0,0.5647531911216999,3,High,Priority 3 - manager check-in,Works overtime; No stock option
1768,Research & Development,Laboratory Technician,No,Travel_Rarely,2766,5,2,2,2,No,0,0.5640212830147048,3,High,Priority 3 - manager check-in,Low job satisfaction; Low environment satisfaction; Low work-life balance
1102,Research & Development,Laboratory Technician,No,Travel_Rarely,2207,4,3,1,2,No,0,0.5625034987852608,3,High,Priority 3 - manager check-in,Low environment satisfaction; Low work-life balance
578,Research & Development,Laboratory Technician,No,Travel_Rarely,3780,1,3,3,3,No,0,0.5609175963802568,3,High,Priority 3 - manager check-in,Early tenure; No stock option
812,Research & Development,Laboratory Technician,No,Non-Travel,2694,1,2,3,3,No,0,0.5606546372568437,3,High,Priority 3 - manager check-in,Low job satisfaction; Early tenure
496,Research & Development,Healthcare Representative,No,Travel_Rarely,6540,1,2,3,3,No,0,0.5603503707711558,3,High,Priority 3 - manager check-in,Low job satisfaction; Early tenure; No stock option
1126,Research & Development,Manufacturing Director,No,Travel_Frequently,10820,8,1,3,3,No,0,0.5588537426381005,3,High,Priority 3 - manager check-in,Frequent business travel; Low job satisfaction
39,Research & Development,Laboratory Technician,No,Travel_Rarely,2496,1,4,3,3,No,0,0.5586811485136731,3,High,Priority 3 - manager check-in,Early tenure; No stock option
1387,Sales,Sales Executive,No,Travel_Rarely,4724,5,1,3,3,No,0,0.5566797567940589,3,High,Priority 3 - manager check-in,Low job satisfaction
1981,Research & Development,Healthcare Representative,No,Travel_Rarely,4617,4,3,2,2,No,0,0.555987299242047,3,High,Priority 3 - manager check-in,Low environment satisfaction; Low work-life balance; No stock option
1277,Sales,Manager,Yes,Travel_Rarely,18824,24,2,1,3,Yes,1,0.5545508043478954,3,High,Priority 3 - manager check-in,Works overtime; Low job satisfaction; Low environment satisfaction; No stock option
399,Sales,Sales Representative,No,Travel_Frequently,2789,2,2,4,2,No,0,0.5544846872874996,3,High,Priority 3 - manager check-in,Frequent business travel; Low job satisfaction; Low work-life balance; Early tenure
79,Research & Development,Laboratory Technician,No,Travel_Frequently,2406,10,4,4,3,No,0,0.5525757733821883,3,High,Priority 3 - manager check-in,Frequent business travel; Long promotion gap; No stock option
74,Sales,Sales Executive,No,Travel_Frequently,9069,9,1,2,2,No,0,0.5516354273779567,3,High,Priority 3 - manager check-in,Frequent business travel; Low job satisfaction; Low environment satisfaction; Low work-life balance
1865,Human Resources,Human Resources,No,Travel_Rarely,2804,1,2,4,3,No,0,0.550606018992003,3,High,Priority 3 - manager check-in,Low job satisfaction; Early tenure; No stock option
1502,Research & Development,Laboratory Technician,No,Travel_Rarely,3838,5,2,1,3,No,0,0.5473390104003092,3,High,Priority 3 - manager check-in,Low job satisfaction; Low environment satisfaction; No stock option
760,Human Resources,Human Resources,No,Travel_Rarely,6389,8,2,3,1,No,0,0.5466715914804724,3,High,Priority 3 - manager check-in,Low job satisfaction; Low work-life balance
1395,Sales,Sales Executive,No,Travel_Frequently,9998,5,4,2,4,No,0,0.546496420975206,3,High,Priority 3 - manager check-in,Frequent business travel; Low environment satisfaction; No stock option
342,Research & Development,Manufacturing Director,No,Travel_Frequently,10048,1,3,1,3,Yes,1,0.5464633048353582,3,High,Priority 3 - manager check-in,Frequent business travel; Low environment satisfaction; Early tenure
150,Research & Development,Laboratory Technician,No,Travel_Rarely,2774,5,3,2,3,No,0,0.5453559940449257,3,High,Priority 3 - manager check-in,Low environment satisfaction
643,Research & Development,Laboratory Technician,No,Travel_Rarely,2127,1,2,4,3,No,0,0.5442731709775391,3,High,Priority 3 - manager check-in,Low job satisfaction; Early tenure
513,Sales,Sales Executive,No,Travel_Rarely,7596,10,3,2,3,No,0,0.5426846156347137,3,High,Priority 3 - manager check-in,Low environment satisfaction; Long promotion gap
533,Sales,Sales Executive,No,Travel_Rarely,6577,5,3,2,3,No,0,0.5414110980315835,3,High,Priority 3 - manager check-in,Low environment satisfaction; Long promotion gap; No stock option
1839,Research & Development,Research Scientist,No,Non-Travel,1514,0,3,2,1,No,0,0.5384114878320361,3,High,Priority 3 - manager check-in,Low environment satisfaction; Low work-life balance; Early tenure; No stock option
1826,Research & Development,Laboratory Technician,No,Travel_Rarely,2705,5,3,2,4,No,0,0.5372759284183477,3,High,Priority 3 - manager check-in,Low environment satisfaction
104,Research & Development,Laboratory Technician,Yes,Travel_Rarely,5126,10,4,4,2,No,0,0.5369674306542406,3,High,Priority 3 - manager check-in,Works overtime; Low work-life balance
1564,Research & Development,Laboratory Technician,No,Travel_Rarely,2450,3,1,4,3,No,0,0.5363070862030216,3,High,Priority 3 - manager check-in,Low job satisfaction; No stock option
1202,Research & Development,Research Scientist,Yes,Travel_Rarely,2168,5,4,2,2,No,0,0.5361690104659581,3,High,Priority 3 - manager check-in,Works overtime; Low environment satisfaction; Low work-life balance
1534,Research & Development,Laboratory Technician,No,Travel_Rarely,2018,5,1,4,1,Yes,1,0.5355015889324134,3,High,Priority 3 - manager check-in,Low job satisfaction; Low work-life balance; No stock option
518,Research & Development,Manufacturing Director,Yes,Travel_Rarely,4197,1,2,3,2,No,0,0.533940211262133,3,High,Priority 3 - manager check-in,Works overtime; Low job satisfaction; Low work-life balance; Early tenure; No stock option
475,Sales,Sales Executive,Yes,Non-Travel,4736,2,3,4,4,No,0,0.5338275376882287,3,High,Priority 3 - manager check-in,Works overtime; Early tenure
331,Research & Development,Laboratory Technician,Yes,Travel_Rarely,3730,3,3,4,1,Yes,1,0.5334052176099631,3,High,Priority 3 - manager check-in,Works overtime; Low work-life balance; No stock option
1563,Human Resources,Human Resources,No,Travel_Frequently,6077,6,3,3,3,No,0,0.5308793673085981,3,High,Priority 3 - manager check-in,Frequent business travel; No stock option
41,Research & Development,Laboratory Technician,No,Travel_Rarely,2206,10,3,4,3,No,0,0.5287639269191249,3,High,Priority 3 - manager check-in,No stock option
842,Sales,Sales Executive,No,Travel_Rarely,5160,9,4,3,2,Yes,1,0.5286969878540168,3,High,Priority 3 - manager check-in,Low work-life balance; Long promotion gap; No stock option
1943,Sales,Sales Executive,Yes,Travel_Rarely,5087,0,4,2,3,No,0,0.5268422649028681,3,High,Priority 3 - manager check-in,Works overtime; Low environment satisfaction; Early tenure
1932,Research & Development,Research Scientist,Yes,Travel_Frequently,5747,15,4,3,3,No,0,0.524864781854662,3,High,Priority 3 - manager check-in,Works overtime; Frequent business travel; Long promotion gap; No stock option
463,Sales,Sales Executive,Yes,Travel_Rarely,8268,7,2,4,3,No,0,0.5244605192164453,3,High,Priority 3 - manager check-in,Works overtime; Low job satisfaction
1034,Research & Development,Healthcare Representative,Yes,Travel_Frequently,6385,8,2,3,3,No,0,0.5226485868027646,3,High,Priority 3 - manager check-in,Works overtime; Frequent business travel; Low job satisfaction; Long promotion gap
403,Research & Development,Research Scientist,Yes,Travel_Frequently,2326,4,4,2,2,No,0,0.5210398945716572,3,High,Priority 3 - manager check-in,Works overtime; Frequent business travel; Low environment satisfaction; Low work-life balance
1234,Research & Development,Laboratory Technician,No,Travel_Frequently,2743,2,2,3,3,No,0,0.5181809607279615,3,High,Priority 3 - manager check-in,Frequent business travel; Low job satisfaction; Early tenure
214,Research & Development,Research Scientist,Yes,Travel_Rarely,3346,1,2,2,2,No,0,0.5158129858764423,3,High,Priority 3 - manager check-in,Works overtime; Low job satisfaction; Low environment satisfaction; Low work-life balance; Early tenure
1211,Sales,Sales Executive,No,Travel_Rarely,4115,4,1,3,3,No,0,0.5147597079169333,3,High,Priority 3 - manager check-in,Low job satisfaction
848,Research & Development,Research Scientist,Yes,Travel_Frequently,2366,8,3,3,3,Yes,1,0.5138131718959229,3,High,Priority 3 - manager check-in,Works overtime; Frequent business travel
604,Sales,Sales Executive,Yes,Travel_Rarely,6582,6,4,2,4,No,0,0.513487117474726,3,High,Priority 3 - manager check-in,Works overtime; Low environment satisfaction; No stock option
7,Research & Development,Laboratory Technician,No,Travel_Rarely,3468,2,2,1,3,No,0,0.5124005518646985,3,High,Priority 3 - manager check-in,Low job satisfaction; Low environment satisfaction; Early tenure
80,Research & Development,Research Director,Yes,Travel_Rarely,18740,27,3,2,2,No,0,0.5106712320909371,3,High,Priority 3 - manager check-in,Works overtime; Low environment satisfaction; Low work-life balance; Long promotion gap
1784,Sales,Sales Executive,No,Travel_Rarely,5468,12,4,1,3,No,0,0.5103519633258765,3,High,Priority 3 - manager check-in,Low environment satisfaction; Long promotion gap
1586,Research & Development,Laboratory Technician,Yes,Travel_Rarely,4723,10,1,2,3,No,0,0.5100294412866494,3,High,Priority 3 - manager check-in,Works overtime; Low job satisfaction; Low environment satisfaction; No stock option
121,Sales,Sales Executive,Yes,Travel_Rarely,5209,11,2,3,2,No,0,0.5097166718616679,3,High,Priority 3 - manager check-in,Works overtime; Low job satisfaction; Low work-life balance
1220,Sales,Sales Executive,No,Travel_Frequently,4539,10,3,2,2,No,0,0.5082576828653358,3,High,Priority 3 - manager check-in,Frequent business travel; Low environment satisfaction; Low work-life balance
426,Research & Development,Research Scientist,Yes,Travel_Rarely,2695,2,4,3,1,No,0,0.5065831510767568,3,High,Priority 3 - manager check-in,Works overtime; Low work-life balance; Early tenure
1436,Sales,Sales Executive,No,Travel_Rarely,5647,3,1,3,2,No,0,0.5039258833914915,3,High,Priority 3 - manager check-in,Low job satisfaction; Low work-life balance
359,Research & Development,Laboratory Technician,No,Travel_Frequently,2794,5,2,2,1,No,0,0.5036268097860823,3,High,Priority 3 - manager check-in,Frequent business travel; Low job satisfaction; Low environment satisfaction; Low work-life balance; No stock option
1850,Research & Development,Laboratory Technician,Yes,Travel_Frequently,2379,5,4,4,2,No,0,0.49956903447599293,3,Elevated,Priority 3 - manager check-in,Works overtime; Frequent business travel; Low work-life balance; No stock option
530,Research & Development,Laboratory Technician,No,Travel_Rarely,2218,4,1,4,3,No,0,0.4991315308797866,3,Elevated,Priority 3 - manager check-in,Low job satisfaction
1495,Sales,Sales Representative,No,Non-Travel,2033,1,2,4,3,No,0,0.4986213012156898,3,Elevated,Priority 3 - manager check-in,Low job satisfaction; Early tenure
1557,Sales,Sales Executive,No,Travel_Rarely,6439,8,3,3,3,No,0,0.4974219556909069,3,Elevated,Priority 3 - manager check-in,Long promotion gap
555,Sales,Sales Representative,No,Travel_Frequently,2351,2,3,4,2,Yes,1,0.4967937711791768,3,Elevated,Priority 3 - manager check-in,Frequent business travel; Low work-life balance; Early tenure
1880,Sales,Sales Executive,Yes,Travel_Rarely,5673,10,3,2,3,No,0,0.4954525398615967,3,Elevated,Priority 3 - manager check-in,Works overtime; Low environment satisfaction
1883,Research & Development,Laboratory Technician,No,Travel_Rarely,2062,3,1,4,3,No,0,0.4944155383795288,3,Elevated,Priority 3 - manager check-in,Low job satisfaction; No stock option
159,Research & Development,Research Scientist,No,Travel_Frequently,2613,10,3,1,2,No,0,0.4938955121799267,3,Elevated,Priority 3 - manager check-in,Frequent business travel; Low environment satisfaction; Low work-life balance
233,Research & Development,Research Scientist,Yes,Travel_Rarely,3058,5,2,3,2,No,0,0.49260866175724305,3,Elevated,Priority 3 - manager check-in,Works overtime; Low job satisfaction; Low work-life balance
389,Research & Development,Laboratory Technician,Yes,Travel_Rarely,5415,10,4,2,3,No,0,0.4924930802645821,3,Elevated,Priority 3 - manager check-in,Works overtime; Low environment satisfaction
145,Research & Development,Healthcare Representative,No,Travel_Frequently,7484,13,1,1,2,No,0,0.49172302031683274,3,Elevated,Priority 3 - manager check-in,Frequent business travel; Low job satisfaction; Low environment satisfaction; Low work-life balance; Long promotion gap
382,Sales,Sales Executive,Yes,Travel_Rarely,5605,8,1,1,3,No,0,0.4903809998428733,3,Elevated,Priority 3 - manager check-in,Works overtime; Low job satisfaction; Low environment satisfaction; Long promotion gap
1435,Research & Development,Laboratory Technician,No,Travel_Rarely,5810,10,4,1,2,No,0,0.49032362822044356,3,Elevated,Priority 3 - manager check-in,Low environment satisfaction; Low work-life balance; No stock option
1180,Research & Development,Research Scientist,Yes,Travel_Frequently,4422,1,4,3,1,No,0,0.4897683915735499,3,Elevated,Priority 3 - manager check-in,Works overtime; Frequent business travel; Low work-life balance; Early tenure
1043,Research & Development,Manufacturing Director,Yes,Travel_Frequently,10880,21,1,4,3,No,0,0.48971489115155437,3,Elevated,Priority 3 - manager check-in,Works overtime; Frequent business travel; Low job satisfaction; No stock option
416,Sales,Sales Executive,No,Travel_Rarely,6929,8,4,2,2,No,0,0.48969768803499986,3,Elevated,Priority 3 - manager check-in,Low environment satisfaction; Low work-life balance; Long promotion gap
532,Sales,Sales Executive,No,Travel_Frequently,13212,7,1,3,2,No,0,0.489175140504883,3,Elevated,Priority 3 - manager check-in,Frequent business travel; Low job satisfaction; Low work-life balance; Long promotion gap
698,Human Resources,Human Resources,No,Travel_Rarely,10725,9,2,3,4,No,0,0.489127902257293,3,Elevated,Priority 3 - manager check-in,Low job satisfaction; Long promotion gap
1587,Research & Development,Healthcare Representative,Yes,Travel_Rarely,6142,5,3,1,3,No,0,0.4812659906244252,3,Elevated,Priority 3 - manager check-in,Works overtime; Low environment satisfaction; No stock option
729,Sales,Sales Executive,Yes,Travel_Frequently,10475,18,1,4,3,No,0,0.4792352571806419,3,Elevated,Priority 3 - manager check-in,Works overtime; Frequent business travel; Low job satisfaction
1356,Sales,Sales Executive,No,Travel_Rarely,6125,10,1,3,4,No,0,0.47796595537324527,3,Elevated,Priority 3 - manager check-in,Low job satisfaction; Long promotion gap; No stock option
2013,Sales,Sales Representative,No,Travel_Rarely,2269,2,2,2,3,No,0,0.47793809430206535,3,Elevated,Priority 3 - manager check-in,Low job satisfaction; Low environment satisfaction; Early tenure
2053,Research & Development,Laboratory Technician,Yes,Travel_Rarely,4025,4,2,4,3,No,0,0.47736951358684787,4,Elevated,Monitor,Works overtime; Low job satisfaction
743,Research & Development,Manufacturing Director,Yes,Travel_Rarely,7861,1,3,3,4,No,0,0.47604980601647096,4,Elevated,Monitor,Works overtime; Early tenure; No stock option
466,Research & Development,Manufacturing Director,Yes,Travel_Rarely,6032,5,2,4,3,No,0,0.47552939162718255,4,Elevated,Monitor,Works overtime; Low job satisfaction; No stock option
1224,Research & Development,Laboratory Technician,No,Travel_Rarely,3491,10,3,3,2,No,0,0.47493598222261657,4,Elevated,Monitor,Low work-life balance; Long promotion gap
284,Research & Development,Research Scientist,Yes,Travel_Rarely,2328,4,2,4,2,No,0,0.47478267742521674,4,Elevated,Monitor,Works overtime; Low job satisfaction; Low work-life balance
657,Research & Development,Research Scientist,No,Travel_Rarely,2836,1,2,4,4,No,0,0.47448808338466886,4,Elevated,Monitor,Low job satisfaction; Early tenure; No stock option
